song name, artist, album, genre, link
Come Together,The Beatles,Abbey Road,Rock / Blues,https://open.spotify.com/track/2EqlS6tkEnglzr7tkKAAYD?si=JZHJn5H7T3iN_94poMbpJA
Let It Be ,The Beatles,Let It Be,Rock / Blues,https://open.spotify.com/track/7iN1s7xHE4ifF5povM6A48?si=l7hENnrrSUi-uE4WkfNagw
I Want To Hold Your Hand,The Beatles,1,Rock / Blues,https://open.spotify.com/track/4pbG9SUmWIvsROVLF0zF9s?si=-a9d5HaPRRSkvKRoHR8xrA
Yellow Submarine,The Beatles,1,Rock / Blues,https://open.spotify.com/track/7zRmGvtSy36Jr19U5OInJT?si=31JVpGoISRSqq_peyhO6lQ
Help!,The Beatles,Help!,Rock / Blues,https://open.spotify.com/track/7DD7eSuYSC5xk2ArU62esN?si=8Z5Lp1ZYRC6NNnolby1v3w
Yesterday,The Beatles,Help!,Rock / Blues,https://open.spotify.com/track/3BQHpFgAp4l80e1XslIjNI?si=hL2VpdIBQG6JUgCNeqKtTg
Joker And The Thief,Wolfmother,Wolfmother,Hard Rock,https://open.spotify.com/track/7ISL3LO8AWP3fKIXunvqTa?si=GCsQ2JjQSw2n4g-UXHwFBw
21 Guns,Green Day,21st Century Breakdown,Alternative Rock,https://open.spotify.com/track/64yrDBpcdwEdNY9loyEGbX?si=JGVvjOlMRzy0bk3GWFr17w
American Idiot,Green Day,American Idiot,Alternative Rock,https://open.spotify.com/track/6nTiIhLmQ3FWhvrGafw2zj?si=jOX99qhpTQKJedXEjhhHsw
Wake Me up When September Ends,Green Day,American Idiot,Alternative Rock,https://open.spotify.com/track/3ZffCQKLFLUvYM59XKLbVm?si=6X03cx3ZQ1W-2bKq7elgyw
Boulevard of Broken Dreams,Green Day,American Idiot,Alternative Rock,https://open.spotify.com/track/5GorCbAP4aL0EJ16frG2hd?si=qmIjeA4pS4qdHne2Jc84fw
Fireflies,Owl City,Ocean Eyes (Deluxe Version),Pop,https://open.spotify.com/track/3DamFFqW32WihKkTVlwTYQ?si=QU-SQwLJTpOhvOoSVS-pNw
Good Time,Owl City,The Midsummer Station,Pop,https://open.spotify.com/track/1kPpge9JDLpcj15qgrPbYX?si=D5YwvMAET9erLj6U5eYgCg
Young Dumb & Broke ,Khalid,American Teen,R&B / Pop,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY?si=r8VN72hQSHWBsXIRJOiPkg
Silence ,Khalid (with Marshmello),Silence,R&B / Pop,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU?si=QrWFHSSSTpqwV2WeWNh6eg
8TEEN,Khalid,American Teen,R&B / Pop,https://open.spotify.com/track/5bgwqaRSS3M8WHWruHgSL5?si=Ci27rMT2SdG-MuHvD-9Kew
XO Tour Llif3,Lil Uzi Vert,Luv is Rage 2,Rap,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO?si=X_f0Cv4aRBGhxuPbW-2ilw
